# ------------------------------------------------------------------------
# Noise and sensitivity radiance spectrum
# NASA-GSFC Planetary Spectrum Generator (PSG) (Villanueva et al. 2015)
# Background sky sources include: CMB, Zodiacal dust (emitted and reflected), and Cirrus
# Synthesized on Sun Jun 10 15:35:49 2018
# ------------------------------------------------------------------------
# Spectral unit: Wavelength [um]
# Radiance unit: Contrast [radiance ratio w.r.t. parent star]
# Wave/freq Total Source Detector Telescope Background
8.225577108e-01  3.18133e-04  3.17249e-04  2.37079e-05  8.70702e-77  8.87004e-08
8.237327932e-01  3.18759e-04  3.17867e-04  2.38344e-05  1.12103e-76  8.91853e-08
8.249095544e-01  3.15693e-04  3.14824e-04  2.34136e-05  1.40982e-76  8.76217e-08
8.260879966e-01  3.14400e-04  3.13539e-04  2.32560e-05  1.79208e-76  8.70427e-08
8.272681223e-01  3.13212e-04  3.12358e-04  2.31142e-05  2.27863e-76  8.65224e-08
8.284499339e-01  3.12182e-04  3.11334e-04  2.29957e-05  2.89909e-76  8.60890e-08
8.296334338e-01  3.13619e-04  3.12757e-04  2.32395e-05  3.74547e-76  8.70116e-08
8.308186244e-01  3.15566e-04  3.14686e-04  2.35606e-05  4.85264e-76  8.82237e-08
8.320055082e-01  3.11792e-04  3.10940e-04  2.30360e-05  6.06117e-76  8.62686e-08
8.331940875e-01  3.16924e-04  3.16027e-04  2.38298e-05  8.00713e-76  8.92511e-08
8.343843647e-01  3.13666e-04  3.12793e-04  2.33780e-05  1.00280e-75  8.75680e-08
8.355763424e-01  3.10176e-04  3.09330e-04  2.28959e-05  1.25333e-75  8.57708e-08
8.367700229e-01  3.10632e-04  3.09779e-04  2.29952e-05  1.60581e-75  8.61514e-08
8.379654086e-01  3.09883e-04  3.09034e-04  2.29175e-05  2.04089e-75  8.58683e-08
8.391625021e-01  3.12445e-04  3.11573e-04  2.33288e-05  2.64843e-75  8.74178e-08
8.403613057e-01  3.08643e-04  3.07800e-04  2.27997e-05  3.29851e-75  8.54429e-08
8.415618218e-01  3.08573e-04  3.07728e-04  2.28216e-05  4.20605e-75  8.55324e-08
8.427640530e-01  3.08506e-04  3.07660e-04  2.28441e-05  5.36155e-75  8.56239e-08
8.439680016e-01  3.09900e-04  3.09039e-04  2.30823e-05  6.89658e-75  8.65239e-08
8.451736702e-01  3.07383e-04  3.06540e-04  2.27430e-05  8.64748e-75  8.52589e-08
8.463810612e-01  3.06844e-04  3.06003e-04  2.26957e-05  1.09780e-74  8.50882e-08
8.475901770e-01  3.08128e-04  3.07274e-04  2.29174e-05  1.40971e-74  8.59256e-08
8.488010201e-01  3.04909e-04  3.04080e-04  2.24754e-05  1.75755e-74  8.42747e-08
8.500135930e-01  3.22561e-04  3.21577e-04  2.51723e-05  2.50154e-74  9.43934e-08
8.512278981e-01  3.08278e-04  3.07416e-04  2.30370e-05  2.90836e-74  8.63923e-08
8.524439379e-01  3.05974e-04  3.05129e-04  2.27279e-05  3.64391e-74  8.52385e-08
8.536617150e-01  3.14702e-04  3.13781e-04  2.40694e-05  4.89902e-74  9.02750e-08
8.548812317e-01  3.42147e-04  3.40961e-04  2.84605e-05  7.35149e-74  1.06751e-07
8.561024906e-01  3.03869e-04  3.03034e-04  2.25131e-05  7.37746e-74  8.44478e-08
8.573254942e-01  3.01625e-04  3.00805e-04  2.22149e-05  9.23219e-74  8.33335e-08
8.585502449e-01  3.04174e-04  3.03332e-04  2.26218e-05  1.19187e-73  8.48645e-08
8.597767452e-01  3.03049e-04  3.02213e-04  2.24874e-05  1.50154e-73  8.43643e-08
8.610049977e-01  3.02224e-04  3.01392e-04  2.23974e-05  1.89469e-73  8.40303e-08
8.622350049e-01  3.01658e-04  3.00829e-04  2.23456e-05  2.39403e-73  8.38397e-08
8.634667692e-01  2.99272e-04  2.98461e-04  2.20265e-05  2.98768e-73  8.26460e-08
8.647002931e-01  2.99853e-04  2.99034e-04  2.21428e-05  3.80122e-73  8.30854e-08
8.659355793e-01  3.26543e-04  3.25485e-04  2.62708e-05  5.70581e-73  9.85781e-08
8.671726301e-01  3.12397e-04  3.11466e-04  2.40910e-05  6.61769e-73  9.04015e-08
8.684114481e-01  2.99857e-04  2.99032e-04  2.22375e-05  7.72324e-73  8.34490e-08
8.696520359e-01  3.03865e-04  3.03004e-04  2.28649e-05  1.00368e-72  8.58056e-08
8.708943960e-01  2.97823e-04  2.97009e-04  2.20004e-05  1.22019e-72  8.25637e-08
8.721385308e-01  2.96736e-04  2.95929e-04  2.18719e-05  1.53216e-72  8.20831e-08
