results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2016, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: ExoEarth like Gatlin b - CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(3.71-5.00um)
# ------------------------------------------------------------------------
# Wave/freq ExoEarth-like-Gatlin-b Transit Planet
2.961253991e+00 -8.93227e-04 -8.93227e-04  1.24677e-17
2.963104775e+00 -8.90269e-04 -8.90269e-04  2.54407e-17
2.964956715e+00 -8.85038e-04 -8.85038e-04  1.37713e-18
2.966809813e+00 -8.84268e-04 -8.84268e-04  2.18460e-17
2.968664069e+00 -8.80533e-04 -8.80533e-04  1.03513e-16
2.970519484e+00 -8.73021e-04 -8.73021e-04  5.75383e-16
2.972376059e+00 -8.74395e-04 -8.74395e-04  3.00458e-16
2.974233794e+00 -8.73552e-04 -8.73552e-04  9.13783e-17
2.976092690e+00 -8.68274e-04 -8.68274e-04  8.63766e-17
2.977952748e+00 -8.67417e-04 -8.67417e-04  6.24061e-17
2.979813969e+00 -8.63622e-04 -8.63622e-04  8.33963e-17
2.981676352e+00 -8.61669e-04 -8.61669e-04  1.01594e-16
2.983539900e+00 -8.58729e-04 -8.58729e-04  2.22504e-17
2.985404612e+00 -8.56427e-04 -8.56427e-04  3.60492e-18
2.987270490e+00 -8.50209e-04 -8.50209e-04  3.99553e-18
2.989137534e+00 -8.49233e-04 -8.49233e-04  5.93657e-18
2.991005745e+00 -8.46728e-04 -8.46728e-04  1.00891e-17
2.992875124e+00 -8.44408e-04 -8.44408e-04  1.79094e-17
2.994745671e+00 -8.41414e-04 -8.41414e-04  9.77922e-18
2.996617387e+00 -8.34599e-04 -8.34599e-04  2.39417e-16
2.998490273e+00 -8.36301e-04 -8.36301e-04  5.30057e-17
3.000364329e+00 -8.25918e-04 -8.25918e-04  0.00000e+00
3.002239557e+00 -8.30479e-04 -8.30479e-04  1.46470e-19
3.004115957e+00 -8.28178e-04 -8.28178e-04  2.50160e-17
3.005993529e+00 -8.25377e-04 -8.25377e-04  1.06411e-16
3.007872275e+00 -8.21508e-04 -8.21508e-04  6.73020e-17
3.009752195e+00 -8.18524e-04 -8.18524e-04  1.17078e-16
3.011633290e+00 -8.16842e-04 -8.16842e-04  3.22872e-18
3.013515561e+00 -8.14012e-04 -8.14012e-04  2.08837e-17
3.015399008e+00 -8.08977e-04 -8.08977e-04  7.70655e-18
3.017283633e+00 -8.08185e-04 -8.08185e-04  1.32659e-19
3.019169435e+00 -8.05395e-04 -8.05395e-04  4.49688e-16
3.021056416e+00 -8.00753e-04 -8.00753e-04  1.82864e-16
3.022944576e+00 -8.00502e-04 -8.00502e-04  5.18305e-16
3.024833917e+00 -7.94903e-04 -7.94903e-04  3.24070e-17
3.026724438e+00 -7.93110e-04 -7.93110e-04  5.60376e-17
3.028616141e+00 -7.92377e-04 -7.92377e-04  0.00000e+00
3.030509026e+00 -7.90236e-04 -7.90236e-04  1.47606e-17
3.032403094e+00 -7.87393e-04 -7.87393e-04  2.88327e-16
3.034298346e+00 -7.84310e-04 -7.84310e-04  4.33914e-17
3.036194782e+00 -7.80220e-04 -7.80220e-04  5.29430e-16
3.038092404e+00 -7.72361e-04 -7.72361e-04  3.11772e-16
3.039991212e+00 -7.63734e-04 -7.63734e-04  3.88319e-16
3.041891206e+00 -7.71078e-04 -7.71078e-04  7.15274e-18
3.043792388e+00 -7.71393e-04 -7.71393e-04  4.16759e-18
3.045694758e+00 -7.66759e-04 -7.66759e-04  1.31757e-16
3.047598318e+00 -7.66211e-04 -7.66211e-04  0.00000e+00
3.049503067e+00 -7.63417e-04 -7.63417e-04  3.14778e-16
3.051409006e+00 -7.61047e-04 -7.61047e-04  6.70825e-16
3.053316137e+00 -7.59021e-04 -7.59021e-04  8.13420e-17
3.055224459e+00 -7.54609e-04 -7.54609e-04  1.11569e-15
3.057133975e+00 -7.53923e-04 -7.53923e-04  1.59302e-16
3.059044683e+00 -7.50996e-04 -7.50996e-04  0.00000e+00
3.060956586e+00 -7.49184e-04 -7.49184e-04  4.54511e-17
3.062869684e+00 -7.46355e-04 -7.46355e-04  2.56443e-16
3.064783978e+00 -7.39841e-04 -7.39841e-04  3.59299e-17
3.066699468e+00 -7.41476e-04 -7.41476e-04  3.36056e-16
3.068616155e+00 -7.38180e-04 -7.38180e-04  4.14314e-17
3.070534040e+00 -7.34922e-04 -7.34922e-04  4.17819e-16
3.072453124e+00 -7.33952e-04 -7.33952e-04  7.98973e-16
3.074373407e+00 -7.30938e-04 -7.30938e-04  0.00000e+00
3.076294890e+00 -7.28739e-04 -7.28739e-04  1.45394e-18
3.078217575e+00 -7.26769e-04 -7.26769e-04  2.85595e-18
3.080141461e+00 -7.21622e-04 -7.21622e-04  6.38297e-18
3.082066549e+00 -7.20418e-04 -7.20418e-04  1.05803e-15
3.083992841e+00 -7.18208e-04 -7.18208e-04  1.44768e-16
3.085920336e+00 -7.10945e-04 -7.10945e-04  2.91579e-16
3.087849036e+00 -7.14042e-04 -7.14042e-04  1.73935e-17
3.089778942e+00 -7.11210e-04 -7.11210e-04  7.15382e-16
3.091710054e+00 -7.07004e-04 -7.07004e-04  0.00000e+00
3.093642373e+00 -7.07562e-04 -7.07562e-04  6.85008e-16
3.095575899e+00 -7.05164e-04 -7.05164e-04  6.69774e-16
3.097510634e+00 -7.00464e-04 -7.00464e-04  2.98995e-16
3.099446578e+00 -6.99440e-04 -6.99440e-04  3.90887e-17
3.101383732e+00 -6.98014e-04 -6.98014e-04  2.73626e-18
3.103322097e+00 -6.95662e-04 -6.95662e-04  3.73049e-16
3.105261673e+00 -6.92511e-04 -6.92511e-04  3.12530e-16
3.107202462e+00 -6.88623e-04 -6.88623e-04  9.73056e-16
3.109144463e+00 -6.88654e-04 -6.88654e-04  2.14692e-16
3.111087679e+00 -6.86743e-04 -6.86743e-04  1.53864e-15
3.113032109e+00 -6.82385e-04 -6.82385e-04  0.00000e+00
3.114977754e+00 -6.56276e-04 -6.56276e-04  1.06182e-15
3.116924615e+00 -6.75644e-04 -6.75644e-04  8.44613e-17
3.118872693e+00 -6.76803e-04 -6.76803e-04  4.91223e-18
3.120821988e+00 -6.74551e-04 -6.74551e-04  1.21838e-18
3.122772502e+00 -6.72568e-04 -6.72568e-04  1.09933e-18
3.124724235e+00 -6.70091e-04 -6.70091e-04  3.26684e-16
3.126677187e+00 -6.60742e-04 -6.60742e-04  1.33777e-15
3.128631360e+00 -6.63797e-04 -6.63797e-04  5.28956e-16
